18986	1.28	33000;11000	Brockhampton Substation	1.54	132	13.21	ServerHouse	1.60	Budds Farm Havant WTW
20558	1.09	275000	Kells 275kV Substation	0.88	275	26.91	Microsoft Ireland	5.36	Unnamed Wastewater Plant Facility
7175	0.26	33000		0.25	132	-1.00		0.64	North Plating Pit
9404	0.19	275000	Fiddlers Ferry Substation	0.12	275	6.04	Iron Mountain	4.04	Warrington North Wastewater Treatment Works
9763	0.50	400000;275000;132000	Frodsham Substation	0.23	132	1.62	The Babbage Centre	1.61	INEOS
14097	0.77	33000		0.32	400	2.39	The Babbage Centre	2.00	INEOS
15151	0.62	33000	______ 33 kV Substation	0.22	275	-1.00		2.03	Culmore Wastewater Treatment Works
17882	0.62	33000	______ 33 kV Substation	0.22	275	-1.00		2.03	Culmore Wastewater Treatment Works
9547	2.69	132000		0.43	132	-1.00		3.15	Drakelow - (Derbys) (STW)
12289	5.66	400000;33000	Fallago Substation	2.11	400	18.11	RBS Data Centre	11.32	WTW
10390	0.98	400000;132000	Norwich Main Substation	0.70	400	-1.00		1.58	Stoke Holy Cross STW
12698	1.50	132000;33000;11000	Toton Substation	1.50	132	8.93	Experian	1.91	Stapleford Sewage Treatment Works
14225	0.30	132000	Sculcoates B	0.30	132	-1.00		5.60	Cottingham water pumping station
19142	1.35	33000	Ninfield Local Primary	0.31	132	-1.00		1.79	Hooe WTW
12649	0.15	33000		5.22	400	5.95	Unknown Data Centre	2.44	Cock Lane Pumping Station
11279	2.07	400000	Imperial Park Substation	0.41	132	2.19	Microsoft Newport data centre	2.28	St Brides WwTW
17508	2.74	33000	Mauxhall Farm	0.69	400	-1.00		1.09	Unnamed Wastewater Plant Facility
17747	0.81	400000;132000	Exeter Substation	0.27	400	-1.00		3.68	Aller Grove STW Whimple
